,Code_Postal,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,Ville
431,33540,,,,,,,,,1.0,SAINT-MARTIN-DE-LERM
432,33550,,,4.0,,,,,,,VILLENAVE-DE-RIONS
433,33560,,3.0,,,,,,3.0,,SAINTE-EULALIE
434,33580,,,,,,,9.0,4.0,,COURS-DE-MONSEGUR
435,33590,,,,,,1.0,,,,SAINT-VIVIEN-DE-MEDOC
436,33600,,5.0,,3.0,,,,2.0,,PESSAC
437,33607,,13.0,11.0,8.0,14.0,4.0,11.0,19.0,19.0,
438,33610,,,,,,,,3.0,,CESTAS
439,33620,,,,,,,,,1.0,MARSAS
440,33640,,,,,,,2.0,1.0,,CASTRES-GIRONDE
441,33650,,,,3.0,,,2.0,,,LA BREDE
442,33670,,10.0,5.0,,,,2.0,,2.0,MADIRAC
443,33680,,16.0,,,,,2.0,,,LE TEMPLE
444,33700,,19.0,83.0,20.0,53.0,35.0,36.0,33.0,60.0,MERIGNAC
445,33710,,,,,,,,,2.0,PUGNAC
446,33720,,4.0,,,,,,,,GUILLOS
447,33740,,,,,,1.0,,,,ARES
448,33750,,,,,,3.0,,,,BEYCHAC-ET-CAILLAU
449,33760,,,,,,,,3.0,3.0,BELLEBAT
450,33770,,,,5.0,,,,,,SALLES
451,33780,,,,,,1.0,,,,SOULAC-SUR-MER
452,33800,5.0,26.0,31.0,43.0,29.0,37.0,87.0,53.0,64.0,
453,33810,,,,,,,2.0,12.0,,AMBES
454,33830,,,,3.0,,,,,,BELIN-BELIET
455,33850,,,4.0,4.0,,,,,,LEOGNAN
456,33880,,,,,,,1.0,,,SAINT-CAPRAIS-DE-BORDEAUX
457,33910,,,,,,,,,3.0,SAINT-MARTIN-DU-BOIS
458,33920,,,,,,,,,3.0,SAINT-SAVIN
459,33950,,,,1.0,,,,,,LEGE-CAP-FERRET
460,34000,,,11.0,15.0,3.0,18.0,16.0,5.0,8.0,MONTPELLIER
461,34070,,52.0,29.0,31.0,59.0,41.0,85.0,119.0,122.0,
462,34080,,,,,,,6.0,,4.0,
463,34090,,,,,,,3.0,8.0,,
464,34110,,,,,,,,1.0,,VIC-LA-GARDIOLE
465,34120,,,1.0,,,,2.0,,,TOURBES
466,34130,,,1.0,,,,,,,LANSARGUES
467,34170,,,,,,,4.0,3.0,,CASTELNAU-LE-LEZ
468,34190,,,,,,,,1.0,,MOULES-ET-BAUCELS
469,34200,,,,,,,2.0,,4.0,SETE
470,34230,,,,14.0,,,,,,POUZOLS
471,34250,,,,,,,,24.0,,PALAVAS-LES-FLOTS
472,34270,,,,,,,,4.0,,LAURET
473,34290,,,,,,,,,1.0,MONTBLANC
474,34300,13.0,1.0,,,1.0,10.0,,,,AGDE
475,34380,,,,7.0,,,,,,ARGELLIERS
476,34400,,,,,,,,2.0,,SAINT-NAZAIRE-DE-PEZAN
477,34500,,7.0,5.0,,,4.0,11.0,16.0,5.0,BEZIERS
478,34830,,,,,,,1.0,,,CLAPIERS
479,34970,,1.0,,,,,8.0,,,LATTES
480,35000,,22.0,4.0,9.0,1.0,,1.0,28.0,2.0,RENNES
481,35005,,,,,,2.0,,,2.0,
482,35131,,,,,,1.0,,,,CHARTRES-DE-BRETAGNE
483,35133,,1.0,,,,,,,,LANDEAN
484,35150,,,1.0,,,,1.0,,,ESSE
485,35160,,1.0,,,,,,,,BRETEIL
486,35200,3.0,43.0,59.0,54.0,19.0,44.0,63.0,60.0,52.0,
487,35220,,6.0,,,,,,,,CHATEAUBOURG
488,35270,,,,,,,,2.0,,SAINT-LEGER-DES-PRES
489,35330,,,,1.0,,,,,,BOVEL
490,35340,,,,1.0,,,,,,ERCE-PRES-LIFFRE
491,35370,,,,,,,,2.0,,GENNES-SUR-SEICHE
492,35400,,15.0,5.0,,12.0,12.0,,6.0,2.0,SAINT-MALO
493,35410,,,,,,,,2.0,,DOMLOUP
494,35440,,,,2.0,3.0,,,,,MONTREUIL-SUR-ILLE
495,35500,,,1.0,,,,3.0,,,TAILLIS
496,35520,,4.0,,3.0,,,,,,LA MEZIERE
497,35600,6.0,2.0,,,,,,9.0,19.0,SAINTE-MARIE
498,35700,,,9.0,,16.0,4.0,,9.0,,
499,35720,1.0,,,,,,,,,PLEUGUENEUC
500,35800,,,,2.0,,7.0,1.0,9.0,,DINARD
501,36000,,9.0,20.0,2.0,4.0,23.0,135.0,114.0,150.0,CHATEAUROUX
502,36100,,,6.0,,,14.0,4.0,3.0,,BRIVES
503,36120,,,,,,,,2.0,,AMBRAULT
504,36130,,,1.0,,,,,,,MONTIERCHAUME
505,36150,,,,,,,4.0,3.0,,BUXEUIL
506,36200,,,,,,,,4.0,,SAINT-MARCEL
507,36250,,,,,,,,8.0,,SAINT-MAUR
508,36300,,,,,,,2.0,6.0,7.0,CIRON
509,36400,,,2.0,,,,,1.0,1.0,VICQ-EXEMPLET
510,36600,,,,,,,4.0,,2.0,VEUIL
511,36700,,,,,,,6.0,,,LE TRANGER
512,37000,1.0,39.0,27.0,39.0,12.0,74.0,31.0,25.0,23.0,
513,37100,,1.0,1.0,,,,,2.0,,
514,37120,,,,,,,,3.0,,BRASLOU
515,37130,,,,,,,2.0,,,LANGEAIS
516,37170,,,,,,1.0,,,,CHAMBRAY-LES-TOURS
517,37190,,,,,,1.0,,,,DRUYE
518,37200,,,,,,,,1.0,,
519,37210,,,,2.0,,,,2.0,,CHANCAY
520,37300,,,,,,1.0,7.0,,,JOUE-LES-TOURS
521,37400,,,,1.0,,,,,,LUSSAULT-SUR-LOIRE
522,37540,,,,,,,,,1.0,SAINT-CYR-SUR-LOIRE
523,37700,,,,3.0,,,,,,SAINT-PIERRE-DES-CORPS
524,38000,,1.0,59.0,6.0,,15.0,3.0,5.0,9.0,
525,38100,4.0,14.0,58.0,19.0,36.0,49.0,17.0,25.0,78.0,
526,38110,,,,,,,,1.0,,MONTAGNIEU
527,38130,,,,,,1.0,,,,ECHIROLLES
528,38160,,,,9.0,4.0,,,,,SAINT-MARCELLIN
529,38230,,,,,6.0,,1.0,11.0,,CHARVIEU-CHAVAGNEUX
530,38300,,,,1.0,,,,2.0,,CRACHIER
531,38360,,,,,,,,2.0,,SASSENAGE
532,38370,,,,,,,,3.0,,SAINT-PRIM
533,38380,,,7.0,,,,,,,SAINT-LAURENT-DU-PONT
534,38400,,,,,,9.0,,1.0,,SAINT-MARTIN-D'HERES
535,38460,,,,2.0,,,,,,VEYSSILIEU
536,38500,,,1.0,,,,,7.0,1.0,VOIRON
537,38510,,,1.0,,,,,,,VEZERONCE-CURTIN
538,38530,,13.0,,,,,,,,SAINT-MAXIMIN
539,38600,,,,,1.0,,,3.0,,FONTAINE
540,38620,,,,,,,,,1.0,VOISSANT
541,38630,,,,,,1.0,,,,CORBELIN
542,39000,,,,13.0,3.0,,,4.0,,LONS-LE-SAUNIER
543,39100,,2.0,,2.0,,1.0,,10.0,1.0,SAMPANS
544,39300,,,2.0,,,,,,,LE LARDERET
545,40000,,,4.0,15.0,6.0,,7.0,,12.0,MONT-DE-MARSAN
546,40100,,,1.0,5.0,5.0,,5.0,8.0,,DAX
547,40130,,,,,,4.0,,,,CAPBRETON
548,40210,,,,,,,,,4.0,LABOUHEYRE
549,40230,,,,,,3.0,,,,SAUBRIGUES
550,40400,,,,,,,,16.0,,BEGAAR
551,40500,,,1.0,,,,,,,COUDURES
552,40600,,,,,1.0,,,,2.0,BISCARROSSE
553,40990,,6.0,1.0,,,,,,1.0,MEES
554,41000,,1.0,10.0,7.0,2.0,5.0,19.0,4.0,15.0,VILLERBON
555,41100,,,,,,12.0,,,4.0,MESLAY
556,41200,,,12.0,,,,1.0,,,MILLANCAY
557,41250,,1.0,,,,,,,,MASLIVES
558,41300,,,8.0,,,,,,,PIERREFITTE-SUR-SAULDRE
559,41330,,,,,,,1.0,,,FOSSE
560,41700,,,,,,,3.0,,,COUR-CHEVERNY
561,42000,,11.0,,,5.0,2.0,5.0,41.0,7.0,
562,42100,,,,,,,5.0,,,
563,42130,,1.0,1.0,,,,,,,LEIGNEUX
564,42240,,,,32.0,,,,,,UNIEUX
565,42300,1.0,1.0,2.0,10.0,4.0,,2.0,,4.0,ROANNE
566,42530,,,,1.0,,,,,,SAINT-GENEST-LERPT
567,42600,,,,,5.0,,,,,CHALAIN-LE-COMTAL
568,42700,,,45.0,48.0,,,,,28.0,FIRMINY
569,42800,,,,,,,2.0,,,TARTARAS
570,43100,,,,2.0,,,,,,LUBILHAC
571,43340,,,,,,1.0,,,,SAINT-HAON
572,44000,1.0,24.0,131.0,40.0,9.0,29.0,61.0,229.0,64.0,NANTES
573,44032,,,,,,1.0,,,,
574,44036,,,,,,,1.0,,,
575,44041,,6.0,3.0,15.0,6.0,18.0,1.0,27.0,,
576,44100,78.0,863.0,1343.0,1774.0,1295.0,781.0,1593.0,1472.0,820.0,
577,44110,,8.0,14.0,,1.0,2.0,2.0,,1.0,CHATEAUBRIANT
578,44115,,,3.0,,2.0,,,,,BASSE-GOULAINE
579,44116,,,,2.0,,,,,,VIEILLEVIGNE
580,44119,,2.0,,,,,,,,GRANDCHAMPS-DES-FONTAINES
581,44120,,,1.0,1.0,,3.0,1.0,1.0,16.0,VERTOU
582,44130,,7.0,3.0,,,,2.0,,2.0,FAY-DE-BRETAGNE
583,44140,,,,,1.0,9.0,,,,AIGREFEUILLE-SUR-MAINE
584,44150,,1.0,2.0,,,,10.0,3.0,9.0,ANETZ
585,44160,,,,,,,3.0,4.0,1.0,CROSSAC
586,44170,,,,1.0,6.0,,,,,TREFFIEUX
587,44190,,4.0,3.0,,15.0,6.0,5.0,10.0,1.0,GETIGNE
588,44200,,9.0,12.0,1.0,5.0,5.0,40.0,9.0,66.0,
589,44210,,,,2.0,1.0,,,7.0,,PORNIC
590,44230,,6.0,,3.0,1.0,22.0,1.0,,,SAINT-SEBASTIEN-SUR-LOIRE
591,44240,,11.0,1.0,10.0,,3.0,11.0,6.0,3.0,SUCE-SUR-ERDRE
592,44250,,,,2.0,3.0,1.0,17.0,3.0,,SAINT-BREVIN-LES-PINS
593,44260,,,,3.0,,1.0,,,2.0,LA CHAPELLE-LAUNAY
594,44270,,,,,,,17.0,,,PAULX
595,44300,,40.0,17.0,42.0,10.0,17.0,13.0,18.0,11.0,
596,44305,,,,,,,,2.0,,
597,44330,,,,1.0,15.0,,2.0,,5.0,VALLET
598,44340,,3.0,4.0,1.0,3.0,,2.0,12.0,1.0,BOUGUENAIS
599,44346,,2.0,1.0,2.0,,8.0,5.0,7.0,,
600,44350,5.0,,,2.0,,,4.0,1.0,1.0,GUERANDE
601,44360,,,,1.0,,,1.0,,,VIGNEUX-DE-BRETAGNE
602,44370,,,,,,2.0,1.0,,,LA CHAPELLE-SAINT-SAUVEUR
603,44380,,,,,,,,10.0,,PORNICHET
604,44390,,,,1.0,1.0,,,,,LES TOUCHES
605,44400,,2.0,,10.0,,5.0,6.0,2.0,,REZE
606,44410,,1.0,,2.0,,,,,,LA CHAPELLE-DES-MARAIS
607,44420,1.0,,,2.0,,,2.0,,1.0,LA TURBALLE
608,44430,10.0,5.0,,,3.0,,,,,LA REMAUDIERE
609,44450,,,,,,,1.0,3.0,2.0,BARBECHAT
610,44470,,2.0,,8.0,1.0,,,1.0,,CARQUEFOU
611,44480,,,,5.0,,,11.0,,,DONGES
612,44500,1.0,,,1.0,3.0,,,5.0,,LA BAULE-ESCOUBLAC
613,44510,1.0,,,,,,,,,LE POULIGUEN
614,44530,,1.0,3.0,,,,,,,SEVERAC
615,44540,,,,,,,,2.0,,SAINT-MARS-LA-JAILLE
616,44550,,,,,1.0,,,,,MONTOIR-DE-BRETAGNE
617,44570,1.0,,,,,,3.0,,,TRIGNAC
618,44590,,2.0,,,,,,,,SION-LES-MINES
619,44600,13.0,23.0,112.0,114.0,80.0,49.0,62.0,48.0,117.0,SAINT-NAZAIRE
620,44640,1.0,,,2.0,1.0,,,,,LE PELLERIN
621,44680,,,,,7.0,,,1.0,,SAINT-HILAIRE-DE-CHALEONS
622,44700,,14.0,3.0,8.0,,,,1.0,,ORVAULT
623,44730,,,,,,,,,1.0,SAINT-MICHEL-CHEF-CHEF
624,44740,,,,,,,,,1.0,BATZ-SUR-MER
625,44780,,,,,,,,3.0,,MISSILLAC
626,44800,4.0,7.0,7.0,23.0,19.0,9.0,,15.0,7.0,SAINT-HERBLAIN
627,44830,,,2.0,,15.0,,,5.0,,BRAINS
628,44840,,,,,,,,13.0,,LES SORINIERES
629,44850,,,,,,,2.0,,,MOUZEIL
630,44860,,,,,2.0,,,2.0,2.0,SAINT-AIGNAN-GRANDLIEU
631,44880,,1.0,,1.0,,,6.0,,,SAUTRON
632,44980,,12.0,10.0,7.0,3.0,,10.0,1.0,3.0,SAINTE-LUCE-SUR-LOIRE
633,45000,,,5.0,1.0,,7.0,,10.0,5.0,
634,45041,,,,,,,3.0,,,
635,45043,,,,,5.0,,,,,
636,45100,,,,,,,13.0,,,
637,45140,,,,1.0,,,9.0,,13.0,SAINT-JEAN-DE-LA-RUELLE
638,45200,,,16.0,1.0,,3.0,,,3.0,AMILLY
639,45230,,,2.0,,,,,,,LA CHAPELLE-SUR-AVEYRON
640,45300,,,,7.0,4.0,12.0,,,,MARSAINVILLIERS
641,45340,,,,2.0,,,,,,SAINT-LOUP-DES-VIGNES
642,45370,,,,,,,,1.0,,MAREAU-AUX-PRES
643,45410,,,,,,,1.0,,,BUCY-LE-ROI
644,45490,,,,1.0,,,,,,SCEAUX-DU-GATINAIS
645,45500,,,20.0,1.0,,,1.0,4.0,8.0,SAINT-GONDON
646,45600,,1.0,,,,,,,,GUILLY
647,46000,,,,1.0,,,,,,CAHORS
648,46100,,,,1.0,,,,3.0,,FOURMAGNAC
649,47000,,9.0,3.0,11.0,,1.0,6.0,16.0,1.0,AGEN
650,47160,,,,1.0,,,,,,SAINT-PIERRE-DE-BUZET
651,47200,,1.0,,,2.0,,7.0,1.0,,MONTPOUILLAN
652,47300,,3.0,,3.0,,,4.0,,,LEDAT
653,47360,,,,,,,,1.0,,COURS
654,47600,,1.0,,,,,,4.0,,FRANCESCAS
655,48100,,,,,,,,9.0,,CHIRAC
656,48200,,1.0,,,,,,,,LA FAGE-SAINT-JULIEN
657,48400,,,,,,,,1.0,,ROUSSES
658,49000,,,,,,7.0,,4.0,4.0,ECOUFLANT
659,49045,,,,1.0,,,,,,
660,49100,,3.0,11.0,28.0,6.0,30.0,25.0,41.0,39.0,
661,49220,,,,3.0,,,,,,THORIGNE-D'ANJOU
662,49260,,,1.0,,1.0,,,,,BREZE
663,49300,,4.0,,,13.0,,7.0,10.0,,CHOLET
664,49390,,1.0,,,,,,,,VERNANTES
665,49400,,2.0,,5.0,6.0,,1.0,1.0,,SAUMUR
666,49450,,,,1.0,,,,,,ROUSSAY
667,49490,,,,,,3.0,,1.0,,MEON
668,49600,,,,4.0,,,,,,LA CHAUSSAIRE
669,50000,,18.0,,14.0,13.0,,,,6.0,LE MESNIL-ROUXELIN
670,50100,,,2.0,3.0,1.0,,,,4.0,
671,50170,,,,,,,1.0,,,BEAUVOIR
672,50200,,,1.0,,,,,,,NICORPS
673,50300,,,4.0,,,5.0,13.0,,5.0,VAINS
674,50340,,,8.0,,8.0,,,,,SOTTEVILLE
675,50530,,,,8.0,,,5.0,,,LA ROCHELLE-NORMANDE
676,50750,,,,,1.0,,,,,SOULLES
677,50890,,,,,3.0,,,,,CONDE-SUR-VIRE
678,51000,,11.0,,3.0,,16.0,5.0,,,CHALONS-EN-CHAMPAGNE
679,51100,3.0,3.0,14.0,13.0,23.0,36.0,22.0,27.0,13.0,REIMS
680,51200,,,,2.0,,,1.0,,,EPERNAY
681,51420,,,,,,,,9.0,,BERRU
682,51530,,,1.0,,,,,,,CHOUILLY
683,51700,,,,,4.0,4.0,,,,IGNY-COMBLIZY
684,51800,,,,,,2.0,,,,BERZIEUX
685,52000,,2.0,,3.0,,,6.0,16.0,1.0,TREIX
686,52100,,,,,5.0,8.0,,,,MOESLAINS
687,52160,,,,,,1.0,1.0,,,ROUVRES-SUR-AUBE
688,52200,,,7.0,,,,,,,SAINTS-GEOSMES
689,53000,,4.0,12.0,,,,4.0,11.0,2.0,LAVAL
690,53100,,,,2.0,4.0,,12.0,6.0,,SAINT-GEORGES-BUTTAVENT
691,53200,,,,1.0,,,,,,MENIL
692,53640,,,,,,,,3.0,,LE HORPS
693,53700,,,,,,2.0,1.0,,,VILLAINES-LA-JUHEL
694,54000,7.0,20.0,31.0,33.0,15.0,26.0,29.0,13.0,6.0,NANCY
695,54150,,,,,,8.0,,,,OZERAILLES
696,54240,,,,,,,2.0,,,JOEUF
697,54260,,,,,3.0,,,,,VILLETTE
698,54280,,,,,9.0,,,,,SEICHAMPS
699,54300,,,,6.0,,,,2.0,,JOLIVET
700,54370,,,,6.0,,,,,,MAIXE
701,54400,,6.0,,3.0,,,,,2.0,COSNES-ET-ROMAIN
702,54520,,,,,,,,4.0,,LAXOU
703,54660,,,,,,1.0,,,,MOUTIERS
704,55000,,,,,2.0,,8.0,,,RUMONT
705,55100,,,,,1.0,5.0,5.0,,3.0,MARRE
706,55190,,,,,,,1.0,,,TROUSSEY
707,55400,,,,,2.0,,,,,BUZY-DARMONT
708,55430,,,,2.0,,,,,,BELLEVILLE-SUR-MEUSE
709,55500,,,,,,4.0,,,,SAINT-AMAND-SUR-ORNAIN
710,56000,,14.0,2.0,27.0,2.0,8.0,16.0,6.0,13.0,VANNES
711,56100,5.0,1.0,3.0,10.0,1.0,2.0,,,14.0,LORIENT
712,56130,,,3.0,,,,,,,LA ROCHE-BERNARD
713,56140,,,,,,,,3.0,,RUFFIAC
714,56300,,,,,,,,,1.0,PONTIVY
715,56340,,4.0,,2.0,5.0,,,20.0,,PLOUHARNEL
716,56350,,,,8.0,2.0,,,,,SAINT-JEAN-LA-POTERIE
717,56400,,,3.0,5.0,13.0,,,,,AURAY
718,56430,,2.0,,2.0,,,,2.0,,NEANT-SUR-YVEL
719,56440,,3.0,2.0,,,,,,,LANGUIDIC
720,56700,,,,,,4.0,,,,HENNEBONT
721,56800,,,,3.0,,,,3.0,,AUGAN
722,56870,,,,,,,1.0,,,LARMOR-BADEN
723,56910,,,,,1.0,,,,,CARENTOIR
724,57000,,42.0,1.0,16.0,25.0,29.0,25.0,15.0,13.0,
725,57100,,,,,,,,,3.0,MANOM
726,57140,,,,,1.0,,,,,LA MAXE
727,57160,,,,,,,,2.0,,LESSY
728,57200,,,,,,,12.0,,,SARREGUEMINES
729,57280,,,,,,,4.0,,,MAIZIERES-LES-METZ
730,57300,,,,1.0,,,,,,TREMERY
731,57320,,,,2.0,,,1.0,,,COLMEN
732,57330,,,,,,,,1.0,,ESCHERANGE
733,57370,,,,13.0,,,,,,SAINT-JEAN-KOURTZERODE
734,57380,,,,5.0,,,,,,GUESSLING-HEMERING
735,57400,,,,,1.0,6.0,,,6.0,SCHNECKENBUSCH
736,57412,,,2.0,,,,,,,ACHEN
737,57470,,,,,,,,16.0,,GUENVILLER
738,57600,,,,4.0,,,2.0,,,FORBACH
739,57650,,3.0,,,,,,,,LOMMERANGE
740,57800,,,1.0,3.0,,,8.0,,,ROSBRUCK
741,57970,,,,,,,5.0,,,YUTZ
742,58000,,,,2.0,1.0,2.0,,1.0,,SAINT-ELOI
743,58200,,,,6.0,,,,,,ALLIGNY-COSNE
744,58300,,,,1.0,,,,,,SAINT-LEGER-DES-VIGNES
745,59000,4.0,47.0,88.0,143.0,73.0,70.0,132.0,127.0,106.0,LILLE
746,59100,,18.0,,17.0,1.0,16.0,22.0,8.0,3.0,ROUBAIX
747,59115,,,,,,,,,1.0,LEERS
748,59122,,,,,,,2.0,,,LES MOERES
749,59128,,,,,,,3.0,,,FLERS-EN-ESCREBIEUX
750,59129,,,,,,,3.0,,,AVESNES-LES-AUBERT
751,59136,,,,,,,,2.0,,WAVRIN
752,59139,,,,,,3.0,,,,NOYELLES-LES-SECLIN
753,59140,,49.0,9.0,7.0,2.0,,1.0,5.0,7.0,
754,59150,,1.0,,,,,,,2.0,WATTRELOS
755,59160,,,2.0,,,,,,,CAPINGHEM
756,59190,,,,,,,,,31.0,PRADELLES
757,59200,,,9.0,7.0,,8.0,8.0,,9.0,TOURCOING
758,59234,,,,1.0,,,,,,MONCHECOURT
759,59239,,,,,,,,1.0,,LA NEUVILLE
760,59270,,,,,3.0,,,,,GODEWAERSVELDE
761,59280,,,,,,,,5.0,,ARMENTIERES
762,59300,,2.0,1.0,31.0,6.0,2.0,,17.0,,AULNOY-LEZ-VALENCIENNES
763,59400,,,,14.0,,1.0,,,,NIERGNIES
764,59470,,,,,,2.0,,,,LEDRINGHEM
765,59490,,,11.0,,,,,,,BRUILLE-LEZ-MARCHIENNES
766,59494,,,,17.0,,,,,,PETITE-FORET
767,59500,,7.0,8.0,,21.0,,21.0,1.0,12.0,DOUAI
768,59510,,,,,,,4.0,,,FOREST-SUR-MARQUE
769,59530,,,,22.0,,,,,,POTELLE
770,59540,,,,,1.0,,,,,BEAUMONT-EN-CAMBRESIS
771,59552,,,,,,,1.0,,,COURCHELETTES
772,59600,,,,,1.0,,,1.0,,BERSILLIES
773,59650,,,,,,,,1.0,2.0,
774,59700,,,,,1.0,,,,,MARCQ-EN-BAROEUL
775,59760,,,2.0,,,1.0,,,,GRANDE-SYNTHE
776,59777,,,,,,5.0,,24.0,4.0,
777,59800,,,,,4.0,25.0,,1.0,,
778,59870,,,,,,,2.0,,,BOUVIGNIES
779,59880,,,,,,,1.0,,,SAINT-SAULVE
780,59910,,,,,,,,1.0,,BONDUES
781,60000,,15.0,2.0,11.0,1.0,2.0,3.0,7.0,11.0,TILLE
782,60100,,1.0,1.0,5.0,3.0,37.0,,3.0,8.0,CREIL
783,60110,,,,,7.0,,9.0,1.0,,LORMAISON
784,60140,,18.0,,,,,,,,LIANCOURT
785,60160,,,,,,,,1.0,,THIVERNY
786,60200,,9.0,9.0,16.0,9.0,27.0,3.0,1.0,11.0,COMPIEGNE
787,60260,,,1.0,,,,,,,LAMORLAYE
788,60300,,,,,,,2.0,5.0,,BARON
789,60400,,,,,,,14.0,,11.0,PORQUERICOURT
790,60500,,,,,,,,1.0,,VINEUIL-SAINT-FIRMIN
791,60608,,4.0,,,,,,,,
792,60690,,,,1.0,,,,,,ROY-BOISSY
793,61000,,3.0,,,,,,,,ALENCON
794,61100,,,,,,2.0,,,,LA SELLE-LA-FORGE
795,61110,,1.0,,,,,,,,COULONGES-LES-SABLONS
796,61130,,,,,,,,4.0,,SERIGNY
797,61200,,,2.0,,,,,,,SEVIGNY
798,61220,,,,,,1.0,,,,BRIOUZE
799,61230,,,1.0,,,,,,,LE SAP-ANDRE
800,61240,,,,,,1.0,,,,LES AUTHIEUX-DU-PUITS
801,61300,,,4.0,,,,,,,SAINT-SYMPHORIEN-DES-BRUYERES
802,62000,,,8.0,15.0,,32.0,9.0,,5.0,ARRAS
803,62100,2.0,6.0,6.0,13.0,4.0,2.0,9.0,2.0,,CALAIS
804,62120,,,,1.0,,,,,,LINGHEM
805,62130,,,,1.0,,,,,,GAUCHIN-VERLOINGT
806,62153,,,1.0,,,,,1.0,,SOUCHEZ
807,62155,,,,,,4.0,,,,MERLIMONT
808,62160,,,19.0,,,,14.0,,17.0,GRENAY
809,62164,,,,,3.0,,,,,AUDRESSELLES
810,62190,,,,6.0,,,,,,AMES
811,62200,,6.0,,23.0,1.0,,2.0,,,BOULOGNE-SUR-MER
812,62220,,,1.0,,,,,,,CARVIN
813,62280,,,,7.0,,,,,,SAINT-MARTIN-BOULOGNE
814,62300,,,4.0,1.0,3.0,,19.0,4.0,,ELEU-DIT-LEAUWETTE
815,62330,,,,,,,3.0,,,GUARBECQUE
816,62400,,,,,,3.0,,,,ESSARS
817,62410,,,,,,,3.0,,,WINGLES
818,62500,,1.0,,1.0,,5.0,,,,SAINT-MARTIN-AU-LAERT
819,62600,,,7.0,4.0,,9.0,26.0,2.0,,GROFFLIERS
820,62800,,,,,,,1.0,2.0,,LIEVIN
821,62880,,,,,,,2.0,,,PONT-A-VENDIN
822,62990,,,,,5.0,,,,,BEAURAINVILLE
823,63000,,3.0,23.0,19.0,41.0,19.0,38.0,170.0,124.0,CLERMONT-FERRAND
824,63100,,,,,,,,1.0,,
825,63110,,,2.0,,,,,,2.0,BEAUMONT
826,63122,,1.0,,,,,,,,SAINT-GENES-CHAMPANELLE
827,63160,,,,,,,,4.0,3.0,MAUZUN
828,63190,,,,,,,1.0,,,BORT-L'ETANG
829,63200,,,,,,,6.0,,,MARSAT
830,63300,,,,6.0,,,,3.0,,DORAT
831,63420,,,,,,,2.0,,,ARDES
832,63510,,,,,,1.0,,,,AULNAT
833,63600,,,3.0,,,,,,,SAINT-FERREOL-DES-COTES
834,63800,,,,,,,,1.0,,LA ROCHE-NOIRE
835,63870,,,,,,,1.0,5.0,1.0,ORCINES
836,64000,,6.0,7.0,8.0,26.0,,6.0,16.0,,PAU
837,64100,,10.0,3.0,36.0,,24.0,16.0,15.0,28.0,BAYONNE
838,64140,,,,,,,,11.0,,LONS
839,64200,,1.0,11.0,5.0,,5.0,2.0,,,BASSUSSARRY
840,64210,,,2.0,,,,,,,ARBONNE
841,64250,,,,,,,3.0,,,CAMBO-LES-BAINS
842,64400,,,,2.0,,1.0,,,,ESTOS
843,64500,,,,,,1.0,,,,SAINT-JEAN-DE-LUZ
844,64570,,,,2.0,,,,,,ANCE
845,64700,,,,,3.0,,14.0,,2.0,HENDAYE
846,64800,,,,,,,,1.0,,LESTELLE-BETHARRAM
847,65000,,,,3.0,,,,29.0,,TARBES
848,65100,,,,,,,1.0,,,JARRET
849,65130,,,,,,,,1.0,,TILHOUSE
850,65150,,,,,,,,2.0,,NISTOS
851,65200,,,,,,,,,1.0,GERDE
852,65300,,,4.0,,,,,,,CAMPISTROUS
853,65700,,2.0,,,,,,,,LAFITOLE
854,66000,,,23.0,25.0,7.0,34.0,2.0,1.0,,
855,66100,,,,4.0,,,,,,
856,66200,,,,,,10.0,,,51.0,THEZA
857,66670,,,,4.0,,,,,,BAGES
858,66690,,,8.0,,,,,,,SOREDE
859,67000,165.0,1354.0,1582.0,1640.0,1614.0,1572.0,2114.0,2278.0,1518.0,STRASBOURG
860,67076,,,,1.0,,,,,,
861,67081,,,,,,51.0,,4.0,,
862,67100,,20.0,26.0,50.0,22.0,21.0,40.0,103.0,18.0,
863,67110,,,3.0,,,,2.0,1.0,,NIEDERBRONN-LES-BAINS
864,67116,,3.0,,,,1.0,,,,REICHSTETT
865,67118,,,,,2.0,3.0,,,,GEISPOLSHEIM
866,67120,,,5.0,,7.0,5.0,,1.0,1.0,ERNOLSHEIM-BRUCHE
867,67140,,,,,,12.0,,,5.0,ZELLWILLER
868,67150,,2.0,,,,2.0,1.0,,1.0,SCHAEFFERSHEIM
869,67170,,,2.0,,,,4.0,,,DONNENHEIM
870,67190,,,,,,2.0,,,,MOLLKIRCH
871,67200,6.0,26.0,146.0,49.0,19.0,40.0,25.0,22.0,12.0,
872,67201,,,10.0,,3.0,,,1.0,,ECKBOLSHEIM
873,67210,,,,4.0,,,2.0,,3.0,GOXWILLER
874,67230,,,,3.0,,,,14.0,1.0,DIEBOLSHEIM
875,67240,,,,3.0,,,,,,SCHIRRHEIN
876,67250,,,,2.0,,,,,,HUNSPACH
877,67300,,18.0,4.0,4.0,18.0,9.0,31.0,26.0,10.0,SCHILTIGHEIM
878,67310,,,,,,,,,2.0,RANGEN
879,67330,,,,,,6.0,4.0,,,OBERSOULTZBACH
880,67340,,3.0,,,,,,,,INGWILLER
881,67350,,1.0,,,,,1.0,,,KINDWILLER
882,67380,4.0,6.0,,4.0,28.0,2.0,,,1.0,LINGOLSHEIM
