,Code_Postal,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,Ville
39,04200,,,,2.0,7.0,,,,,,,,CHATEAUNEUF-VAL-SAINT-DONAT
40,04380,,,1.0,,,,,,,,,,THOARD
41,05000,,2.0,2.0,3.0,1.0,,6.0,,1.0,5.0,2.0,,LA ROCHETTE
42,05100,,4.0,,2.0,,1.0,4.0,,,,15.0,,PUY-SAINT-PIERRE
43,05230,,6.0,,,,,,,,,,,CHORGES
44,05560,,,,1.0,,,,3.0,,,1.0,,VARS
45,05600,,,,,,,,,1.0,,,,MONT-DAUPHIN
46,06000,5.0,199.0,274.0,394.0,371.0,355.0,529.0,881.0,780.0,875.0,1097.0,25.0,NICE
47,06008,,5.0,3.0,35.0,2.0,38.0,15.0,25.0,22.0,23.0,5.0,2.0,
48,06100,,,4.0,1.0,2.0,6.0,15.0,11.0,39.0,,19.0,,
49,06110,,5.0,,1.0,,1.0,31.0,27.0,44.0,9.0,15.0,1.0,LE CANNET
50,06114,,,,,,,,,1.0,,,,
51,06130,,13.0,9.0,12.0,6.0,127.0,92.0,57.0,85.0,48.0,49.0,53.0,
52,06140,12.0,170.0,207.0,198.0,159.0,180.0,79.0,301.0,427.0,470.0,438.0,7.0,TOURRETTES-SUR-LOUP
53,06150,,,,3.0,2.0,,7.0,1.0,6.0,11.0,,,
54,06160,,,2.0,3.0,,,,19.0,,1.0,,,
55,06190,,,,3.0,2.0,,3.0,2.0,3.0,2.0,10.0,,ROQUEBRUNE-CAP-MARTIN
56,06200,,29.0,4.0,5.0,11.0,51.0,34.0,87.0,62.0,17.0,33.0,,
57,06206,,,,,,,,1.0,1.0,,9.0,,
58,06210,,,2.0,26.0,1.0,,7.0,32.0,2.0,1.0,5.0,,MANDELIEU-LA-NAPOULE
59,06220,,,2.0,1.0,,,,21.0,37.0,39.0,47.0,4.0,VALLAURIS
60,06230,,,,,,4.0,,,,2.0,,,SAINT-JEAN-CAP-FERRAT
61,06240,,,,5.0,2.0,,,11.0,,,1.0,,BEAUSOLEIL
